policy_id,last_policy_status,last_termination_dt,time_stamp
P_04996676,cancelled,2017-12-31,2018-01-31
P_01216941,active,,2018-01-31
P_03897978,active,,2018-01-31
P_01721882,active,,2018-01-31
P_01163041,active,,2018-01-31
P_00241240,active,,2018-01-31
P_02214547,active,,2018-01-31
P_01046318,active,,2018-01-31
P_04462772,active,,2018-01-31
P_07007515,active,,2018-01-31
P_08884085,active,,2018-01-31
P_01723496,cancelled,2017-05-31,2018-01-31
P_04358290,active,,2018-01-31
P_04331576,active,,2018-01-31
P_01525013,cancelled,2017-10-31,2018-01-31
P_08363328,active,,2018-01-31
P_09585795,active,,2018-01-31
P_02254591,active,,2018-01-31
P_07738297,cancelled,2017-06-30,2018-01-31
P_00517637,cancelled,2017-04-30,2018-01-31
P_00495052,active,,2018-01-31
P_03978621,active,,2018-01-31
P_03661853,active,,2018-01-31
P_07267998,active,,2018-01-31
P_05793812,active,,2018-01-31
P_08945564,active,,2018-01-31
P_09668950,active,,2018-01-31
P_06570398,active,,2018-01-31
P_00110281,active,,2018-01-31
P_03322763,active,,2018-01-31
P_08721063,active,,2018-01-31
P_07519862,active,,2018-01-31
P_04676064,active,,2018-01-31
P_06518422,active,,2018-01-31
P_04049447,active,,2018-01-31
P_00029562,active,,2018-01-31
P_06079100,active,,2018-01-31
P_03761613,active,,2018-01-31
P_00642607,active,,2018-01-31
P_04433779,cancelled,2017-09-30,2018-01-31
P_09887682,active,,2018-01-31
P_02132335,active,,2018-01-31
P_09218032,active,,2018-01-31
P_01867479,active,,2018-01-31
P_03731208,active,,2018-01-31
P_05777234,active,,2018-01-31
P_07031998,cancelled,2017-10-31,2018-01-31
P_02706872,active,,2018-01-31
P_07420395,active,,2018-01-31
P_08644615,active,,2018-01-31
P_08896202,active,,2018-01-31
P_08431062,active,,2018-01-31
P_08963555,active,2018-05-31,2018-01-31
P_05159339,active,,2018-01-31
P_05156601,cancelled,2018-01-31,2018-01-31
P_04424308,active,,2018-01-31
P_03819940,active,,2018-01-31
P_00129041,cancelled,2018-01-31,2018-01-31
P_07408161,active,,2018-01-31
P_06184284,cancelled,2017-09-30,2018-01-31
P_00215028,active,,2018-01-31
P_07126403,active,,2018-01-31
P_06050611,active,,2018-01-31
P_09908863,cancelled,2017-12-31,2018-01-31
P_09096476,active,,2018-01-31
P_06376035,active,,2018-01-31
P_04675172,active,,2018-01-31
P_01917414,cancelled,2017-06-30,2018-01-31
P_06785530,cancelled,2017-03-31,2018-01-31
P_00464025,active,,2018-01-31
P_02310202,active,,2018-01-31
P_04828496,active,,2018-01-31
P_09306150,active,,2018-01-31
P_09822996,active,,2018-01-31
P_07609223,cancelled,2017-12-31,2018-01-31
P_09059995,active,,2018-01-31
P_06806203,active,,2018-01-31
P_06869132,active,,2018-01-31
P_03524701,active,,2018-01-31
P_02915417,active,,2018-01-31
P_02728511,active,,2018-01-31
P_02579876,active,,2018-01-31
P_03757540,active,,2018-01-31
P_09969161,active,,2018-01-31
P_08397967,active,,2018-01-31
P_00239991,cancelled,2017-02-28,2018-01-31
P_05837464,active,,2018-01-31
P_09870924,active,,2018-01-31
P_00520261,active,,2018-01-31
P_02582185,active,,2018-01-31
P_06480780,active,,2018-01-31
P_03384509,active,,2018-01-31
P_02232502,active,,2018-01-31
P_05796165,active,,2018-01-31
P_01139429,cancelled,2018-01-31,2018-01-31
P_01691953,active,,2018-01-31
P_08239788,active,,2018-01-31
P_00663791,active,,2018-01-31
P_07078059,active,,2018-01-31
P_06041947,active,,2018-01-31
P_07676755,active,,2018-01-31
P_05538590,active,,2018-01-31
P_05344286,active,,2018-01-31
P_00220279,cancelled,2017-08-31,2018-01-31
P_09805456,active,,2018-01-31
P_07379503,active,,2018-01-31
P_05861320,active,,2018-01-31
P_04049766,active,,2018-01-31
P_08970560,cancelled,2017-05-31,2018-01-31
P_06028200,active,,2018-01-31
P_07228812,active,,2018-01-31
P_00040717,active,,2018-01-31
P_06874494,active,,2018-01-31
P_07311439,active,,2018-01-31
P_05494970,active,,2018-01-31
P_07575003,active,,2018-01-31
P_04966612,active,,2018-01-31
P_06345736,active,,2018-01-31
P_02091562,active,,2018-01-31
P_00368509,active,,2018-01-31
P_08151663,active,,2018-01-31
P_03566581,cancelled,2017-07-31,2018-01-31
P_02589603,active,,2018-01-31
P_03929835,active,,2018-01-31
P_05977820,active,,2018-01-31
P_09554775,active,,2018-01-31
P_08842631,active,,2018-01-31
P_09287100,active,,2018-01-31
